txid,ordertxid,pair,aclass,time,type,ordertype,price,cost,fee,vol,margin,misc,ledgers,posttxid,costusd,strategy,note
TU2LPG-TECAC-I3MF6G,OMYMRW-QJDZN-VR4PAJ,ADA/USD,forex,33:47.6,sell,market,0.545751,298.93981,1.19576,547.7586123,0,initiated,"LCJBO7-LNVUO-KYIUSG,LJBBAF-HBC4K-LXLNOT",TKH2SE-M7IF5-CFI7LT,298.93981,,
TSYHIL-B4LJ3-3C3XMO,OMFUSK-ZXWT4-YQPXOB,SOL/USD,forex,34:22.4,sell,market,182.33,672.63356,2.69053,3.68909975,0,initiated,"LNFF35-3DY55-PVCFDG,LATGGI-6XUPB-27CPGR",TKH2SE-M7IF5-CFI7LT,672.63356,,
TVFHRM-T6Z5S-MWCC66,OZ7QX2-WMHOL-DFQELN,DOGE/USD,forex,35:26.4,sell,market,0.1705451,186.9943966,0.747977586,1096.4513,0,initiated,"LUSXNC-FGMRP-LGRKL3,LOG37O-HAE7K-OO6OFR",TKH2SE-M7IF5-CFI7LT,186.9943966,,
TCJML5-QFRAM-AV3NCZ,ODB6NC-4TDCQ-ADRAI2,SOL/USD,forex,11:05.6,buy,market,194.87,24.99872,0.09999,0.12828407,0,initiated,"LUU6FY-3DRUW-FS7ZZH,LPLYMM-QPA2L-NEZI24",TKH2SE-M7IF5-CFI7LT,24.99872,,
TZAKAF-5UTZ2-GEIDLF,OXYFGW-IA3GT-HEAOYQ,BTC/USD,forex,13:51.2,buy,market,114358.5,24.99991,0.1,0.00021861,0,initiated,"LYCDLP-SFEFM-O6KFWI,L6FJYP-OXR3Q-CYNLQY",TKH2SE-M7IF5-CFI7LT,24.99991,,
TYDGL5-AHPIQ-GYMHKG,OJ4HTJ-MBDZI-LI5UOE,ETH/USD,forex,13:52.0,buy,market,4131.38,25.00001,0.1,0.00605125,0,initiated,"LSENTF-N3FYZ-YWZM2Z,LGJ6SB-76SSM-I5TAXG",TKH2SE-M7IF5-CFI7LT,25.00001,,
T7BMVJ-QKFCD-KHILJP,OQGU22-SJG7E-VMQBFF,SOL/USD,forex,13:52.8,buy,market,195.14,25,0.1,0.12811315,0,initiated,"LJ22KO-JOPAJ-7RZVEK,LOYUU2-FH2FK-DDA6VC",TKH2SE-M7IF5-CFI7LT,25,,
TGGBNR-Y54GM-OTE6RO,OYI2JO-OU3KP-MBYPH7,BTC/USD,forex,04:25.9,buy,market,114694.7745,25.00002,0.1,0.00021797,0,initiated,"LWGX7Y-J3LFA-ACYYDE,LIKSS5-L6XU7-E4CR3A",TKH2SE-M7IF5-CFI7LT,25.00002,,
TPJDT3-E27IW-SVU56J,OPXF6E-MNNZ5-ZKDFJW,ETH/USD,forex,04:26.6,buy,market,4139.8,25,0.1,0.00603894,0,initiated,"LITMWH-MZA4N-BB32GA,LPBTPN-TUVEY-GF4W72",TKH2SE-M7IF5-CFI7LT,25,,
TDVJKE-QUJOA-JAI7CZ,OIO3SA-4RCPS-GZI3DR,SOL/USD,forex,04:27.3,buy,market,196.4153,25.00322,0.10001,0.12729772,0,initiated,"LNPBTI-A7ZPW-BEWR7G,LJWX4N-PKFEJ-WE3LN4",TKH2SE-M7IF5-CFI7LT,25.00322,,
